,Name,Address,Price_level,rating,user_ratings_total,Type,Opening_Hour
0,Key Food Supermarkets,"2044 Boston Road, Bronx",Not Found,3.9,520,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 8:00 PM', 'Tuesday: 7:00 AM – 8:00 PM', 'Wednesday: 7:00 AM – 8:00 PM', 'Thursday: 7:00 AM – 8:00 PM', 'Friday: 7:00 AM – 8:00 PM', 'Saturday: 7:00 AM – 8:00 PM', 'Sunday: 8:00 AM – 6:00 PM']}"
1,Compare Foods of Morrisania,"1091 Boston Road, Bronx",Not Found,4,26,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2145'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 10:00 PM', 'Tuesday: 7:30 AM – 10:00 PM', 'Wednesday: 7:30 AM – 10:00 PM', 'Thursday: 7:30 AM – 10:00 PM', 'Friday: 7:30 AM – 10:00 PM', 'Saturday: 7:30 AM – 9:45 PM', 'Sunday: 8:00 AM – 9:00 PM']}"
2,Foodtown of Boston Road,"3471 Boston Road, Bronx",Not Found,4,882,"['grocery_or_supermarket', 'supermarket', 'florist', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 9:00 PM', 'Tuesday: 7:30 AM – 9:00 PM', 'Wednesday: 7:30 AM – 9:00 PM', 'Thursday: 7:30 AM – 9:00 PM', 'Friday: 7:30 AM – 9:00 PM', 'Saturday: 7:30 AM – 9:00 PM', 'Sunday: Closed']}"
3,Fine Fare Supermarkets,"2556 Boston Road, Bronx",Not Found,4.2,708,"['supermarket', 'atm', 'grocery_or_supermarket', 'finance', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 11:00 PM', 'Tuesday: 7:30 AM – 11:00 PM', 'Wednesday: 7:30 AM – 11:00 PM', 'Thursday: 7:30 AM – 11:00 PM', 'Friday: 7:30 AM – 11:00 PM', 'Saturday: 7:30 AM – 11:00 PM', 'Sunday: 7:30 AM – 10:00 PM']}"
4,Pioneer Supermarkets of West Farms,"1989 Boston Road, Bronx",Not Found,3.6,5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']}"
5,SY Grace West Indian Supermarket,"4018b Boston Road, Bronx",Not Found,4.4,701,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 7:00 PM', 'Tuesday: 8:00 AM – 7:00 PM', 'Wednesday: 8:00 AM – 7:00 PM', 'Thursday: 8:00 AM – 7:00 PM', 'Friday: 8:00 AM – 7:00 PM', 'Saturday: 8:00 AM – 7:00 PM', 'Sunday: 8:00 AM – 6:00 PM']}"
6,CTown Supermarkets,"4008 Boston Road, Bronx",2,3.5,232,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']}"
7,Boston Mini Market,"9428 Kings Highway, Brooklyn",Not Found,1,1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",Not Found
8,C & A West Indian Supermarket Fish & Grocery,"3439 Boston Road, Bronx",Not Found,4.3,22,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 8:00 PM', 'Tuesday: 7:30 AM – 8:00 PM', 'Wednesday: 7:30 AM – 8:00 PM', 'Thursday: 7:30 AM – 8:00 PM', 'Friday: 7:30 AM – 8:00 PM', 'Saturday: 7:30 AM – 8:00 PM', 'Sunday: 7:30 AM – 6:00 PM']}"
9,Food Universe Marketplace,"538 West 138th Street, New York",Not Found,4,649,"['grocery_or_supermarket', 'convenience_store', 'supermarket', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 10:00 PM', 'Tuesday: 7:30 AM – 10:00 PM', 'Wednesday: 7:30 AM – 10:00 PM', 'Thursday: 7:30 AM – 10:00 PM', 'Friday: 7:30 AM – 10:00 PM', 'Saturday: 7:30 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']}"
10,CTown Supermarkets,"630 East 169th Street, Bronx",2,3.3,126,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: 8:00 AM – 8:00 PM', 'Sunday: 8:00 AM – 7:00 PM']}"
11,Fine Fare Supermarkets,"708, 1 East Tremont Avenue, Bronx",Not Found,3.6,594,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 8:30 PM']}"
12,Whole Foods Market,"450 West 33rd Street, New York",Not Found,4.5,343,"['grocery_or_supermarket', 'supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30 AM – 10:00 PM', 'Tuesday: 7:30 AM – 10:00 PM', 'Wednesday: 7:30 AM – 10:00 PM', 'Thursday: 7:30 AM – 10:00 PM', 'Friday: 7:30 AM – 10:00 PM', 'Saturday: 7:30 AM – 10:00 PM', 'Sunday: 7:30 AM – 10:00 PM']}"
13,Roche Bros. Downtown Crossing,"8 Summer Street, Boston",Not Found,4.3,1086,"['supermarket', 'florist', 'grocery_or_supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 8:00 AM – 8:00 PM']}"
14,Whole Foods Market,"808 Columbus Avenue, New York",2,4.2,2233,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 10:00 PM', 'Tuesday: 7:00 AM – 10:00 PM', 'Wednesday: 7:00 AM – 10:00 PM', 'Thursday: 7:00 AM – 10:00 PM', 'Friday: 7:00 AM – 10:00 PM', 'Saturday: 7:00 AM – 10:00 PM', 'Sunday: 7:00 AM – 10:00 PM']}"
15,Whole Foods Market,"100 West 125th Street, New York",3,4.2,3038,"['grocery_or_supermarket', 'health', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']}"
16,Whole Foods Market,"181 Cambridge Street, Boston",3,4.2,892,"['grocery_or_supermarket', 'supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 10:00 PM', 'Tuesday: 7:00 AM – 10:00 PM', 'Wednesday: 7:00 AM – 10:00 PM', 'Thursday: 7:00 AM – 10:00 PM', 'Friday: 7:00 AM – 10:00 PM', 'Saturday: 7:00 AM – 10:00 PM', 'Sunday: 7:00 AM – 10:00 PM']}"
17,Citarella Gourmet Market - Upper West Side,"2135 Broadway, New York",2,4.5,551,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: 8:00 AM – 8:00 PM', 'Sunday: 8:00 AM – 8:00 PM']}"
18,Whole Foods Market,"348 Harrison Avenue, Boston",3,4.4,1441,"['grocery_or_supermarket', 'health', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 10:00 PM', 'Tuesday: 7:00 AM – 10:00 PM', 'Wednesday: 7:00 AM – 10:00 PM', 'Thursday: 7:00 AM – 10:00 PM', 'Friday: 7:00 AM – 10:00 PM', 'Saturday: 7:00 AM – 10:00 PM', 'Sunday: 7:00 AM – 10:00 PM']}"
19,Trader Joe's,"899 Boylston Street, Boston",2,4.4,1682,"['grocery_or_supermarket', 'florist', 'supermarket', 'point_of_interest', 'health', 'store', 'food', 'establishment']","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 9:00 PM', 'Saturday: 9:00 AM – 9:00 PM', 'Sunday: 9:00 AM – 9:00 PM']}"
